Packet Timestamp, Raw Timestamp Metadata, Converted Timestamp Metadata, Previous Packet Offset, Agg Tap and Packet Delta, Error Code, Payload
1615889074:4364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615884710, 0xa, 01 02 30 30 30 30 30 37 36 37 32 36 30 31 32 26 7F 7E 20 07 F0 EB C1 CE A0 04 57 B6 2C 2C 29 C8 41 50 56 20 A0 D0 91 8A C3 0A 7E A0 A0 C4 19 E4 90 1C 90 86 A0 C6 0E 00 04 00 07 C0 0B 25 A8 24 DC 8C 27 EC 8C 0E 00 04 00 05 D0 0B 73 B8 4D AC 4E F4 8B C1 10 00 44 00 07 D0 D3 07 50 C8 07 84 8A 18 9C 8A C6 0B 00 04 00 85 07 77 D0 0B DC 1C 90 0B 00 04 00 85 08 1E D8 11 98 21 CC 0B 00 04 00 85 08 45 E0 19 80 29 B4 0B 00 04 00 85 08 6C E8 25 C0 2C C4 0B 00 04 00 85 09 13 F0 31 9C 39 E8 0B 00 04 00 85 09 3A F8 40 EC 4D AC 0B 00 04 00 85 09 62 80 52 E8 60 8C 0B 00 04 00 85 0A 09 88 6B 84 79 8C 03 
1615889074:5365, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615883709, 0xa, 01 02 30 30 30 30 31 30 35 34 32 34 30 31 32 28 7F 7E 20 07 F0 EB D2 CE A0 06 37 D0 2C 2C 29 C7 53 57 51 20 A0 C7 91 8A C4 0B 4C B0 A0 C4 08 6C E8 92 09 13 F0 87 A0 CC 10 00 04 00 07 C0 0C 1A C0 08 26 C0 86 08 45 E0 95 11 00 64 00 05 C0 CA 90 0A 57 98 09 71 D0 0A 14 E4 87 14 01 64 00 85 53 57 46 20 A0 C4 91 0F 6F A0 04 4D EC 04 65 A4 13 01 44 00 85 53 57 51 20 A0 C7 0C 68 D0 07 5C A4 07 7F B8 14 01 44 00 87 53 57 46 20 A0 D3 1E 42 A0 0A 05 94 87 0A 24 B4 12 00 64 00 07 C0 CF 94 16 4A D0 02 0D C4 92 02 1D 94 92 17 01 64 00 07 C0 53 57 51 20 A0 CA 90 0C 1A C0 08 41 EC 86 08 65 80 87 14 01 64 00 85 53 57 46 20 A0 C4 91 10 3D B0 04 03 D0 04 1E FC 0E 00 44 00 85 C7 0E 04 F0 06 4F D4 06 6E F4 11 00 44 00 07 C0 C4 11 59 D0 02 7A F4 A9 03 0E B8 8B 12 00 64 00 07 C0 CF 94 15 2E B0 01 0A A4 87 01 11 A8 92 03 
1615889074:6365, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615882709, 0xa, 01 02 30 30 30 30 30 36 32 35 37 34 30 31 32 28 7F 7E 20 07 F0 EB C1 CE A0 03 68 EE 2C 2C 29 C9 52 46 59 20 A0 C4 91 8A C4 24 4F C0 A0 C4 08 68 F4 86 08 7C B8 91 A0 C2 17 01 44 00 07 D0 53 43 4F 20 A0 D3 09 62 80 02 28 F0 95 02 48 90 95 C1 0C 00 44 00 85 C7 0A 30 90 2A FC 3A CC 0F 00 40 00 07 D0 D3 02 6F 98 8B 03 06 D0 8A C2 10 00 04 00 07 C0 0A 7E A0 03 2D D8 95 03 54 E0 95 0D 00 04 00 85 0B 4C B0 03 74 80 04 1B 88 0E 00 44 00 05 90 C7 0C 1A C0 13 C4 27 88 C6 14 00 40 00 07 9F D3 04 42 90 8B 04 61 B0 CE D8 C4 04 42 90 8B 0F 00 44 00 07 90 C7 0C 68 D0 0F D0 95 1F A0 C2 0D 00 40 00 05 90 D3 05 08 B8 05 27 D8 C1 0E 00 44 00 05 90 C7 0D 36 E0 0B DC 1B AC C2 18 01 64 00 07 D0 52 46 59 20 A0 C6 93 21 48 F0 0B 7F 94 87 0C 12 D8 87 C1 03 
1615889074:7365, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615881709, 0xa, 01 02 30 30 30 30 30 38 35 31 36 33 30 31 32 28 7F 7E 20 07 F0 EB D2 CE A0 05 19 AB 2C 2C 29 CB 47 44 51 20 A0 C8 95 8A C4 1A 6D C0 A0 C4 03 0E B8 8A 03 25 F0 8A A0 C1 10 00 04 00 07 C0 1B 3B D0 02 57 E0 99 02 73 8C 85 10 00 04 00 07 C0 1C 09 E0 02 28 F0 8A 02 40 A8 8F 0E 00 04 00 87 1C 57 F0 01 7A 80 8F 02 11 B8 0E 00 04 00 87 1E 42 A0 01 0E 98 8A 01 1D E8 14 01 64 00 07 C0 47 45 51 20 A0 C3 94 21 48 F0 80 80 03 F4 92 0B 00 04 00 01 C0 23 0C 98 02 AC 88 0D 00 64 00 01 C0 C4 91 21 48 F0 03 F4 90 0D 00 64 00 01 C0 C5 96 24 4F C0 03 90 86 09 00 04 00 81 27 56 90 02 AC 10 00 64 00 07 C0 C8 95 21 48 F0 26 A4 8F 35 90 85 0D 00 04 00 05 C0 24 4F C0 07 E8 0E 88 8F 03 
1615889074:8363, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615880711, 0xa, 01 02 30 30 30 30 30 38 36 33 33 36 30 30 31 29 7F 7E 20 07 F0 EB A0 D8 A0 05 22 C0 2C 2C 29 C8 53 50 59 20 A0 C5 96 8A C1 09 92 A0 C4 01 19 F4 03 D5 01 1D E8 03 C8 A0 C5 03 
1615889074:9365, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615879709, 0xa, 01 02 30 30 30 30 31 30 35 31 31 33 30 31 32 26 7F 7E 20 07 F0 EB D2 CE A0 06 35 99 2C 2C 29 C8 45 46 45 20 A0 D1 96 8A C4 19 03 90 A0 C4 06 A0 99 09 B0 94 A0 C1 0D 00 04 00 05 C0 19 51 A0 08 CC 0B DC B8 0E 00 04 00 07 C0 1C 57 F0 1A C8 AD 1D D8 A4 18 11 64 00 07 C0 C1 45 52 58 20 A0 C4 91 14 12 90 04 51 E0 8A 04 71 80 92 10 00 04 00 05 D0 19 51 A0 01 18 AC 01 27 FC 8F CC 10 00 64 00 07 90 C3 94 19 03 90 42 B4 92 52 84 C1 10 00 64 00 87 D0 91 17 18 E0 01 20 94 8F 01 33 D8 19 31 64 00 07 C0 C6 D1 44 59 4A 20 A0 C3 94 3B 68 A0 18 2D 98 A8 1B 2C 80 A8 16 01 64 00 07 D0 44 55 45 20 A0 C6 93 12 75 F0 13 C4 8A 42 B4 8A CC 19 01 6C 00 07 D0 44 59 4A 20 A0 C3 94 C3 06 3C 90 13 3C 98 A8 16 3B 80 A8 C1 13 01 0C 00 07 90 45 4D 52 20 A0 C4 1E 42 A0 80 80 2E F0 CC 13 01 04 00 87 44 59 4A 20 A0 3B 1A 90 18 7B A8 A8 1B 7A 90 03 
1615889074:10364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615878710, 0xa, 01 02 30 30 30 30 30 39 34 33 39 30 30 31 32 23 7F 7E 20 07 F0 EB A0 D8 A0 05 61 B6 2C 2C 29 C8 50 4E 51 20 A0 C3 94 8A C1 CB A0 C4 80 80 0F D0 8A A0 C6 08 00 44 00 81 CF 99 0B DC 03 00 84 B2 0E 00 64 00 07 C0 CA 90 CB 3A CC 94 42 B4 9C 0B 00 04 00 07 C0 FD 80 80 0F D0 8A 0C 00 04 00 07 C0 E4 07 E8 94 1B AC 94 04 00 C4 D6 B2 0B 00 04 00 07 C0 99 80 80 0F D0 8A 1B 31 6C 00 07 D0 D2 CE 50 4C 51 20 A0 D0 91 C4 0F 21 90 01 24 88 A4 01 2F E4 99 C1 1F 21 64 00 07 DF C1 51 43 42 20 A0 C9 92 07 50 C8 02 30 D8 8A 02 48 90 8B CD D8 C4 02 30 D8 8B 14 00 04 00 07 C3 09 13 F0 01 2F E4 95 01 4F 84 95 01 2F E4 96 0E 00 40 00 07 D0 D5 75 98 8A 01 00 F4 8B C5 03 
1615889074:11364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615877710, 0xa, 01 02 30 30 30 30 30 38 35 31 37 35 30 31 32 25 7F 7E 20 07 F0 EB D2 CE A0 05 19 B7 2C 2C 29 CB 47 45 51 20 A0 C8 95 8A C4 27 56 90 A0 C4 80 80 04 D8 85 A0 C1 12 01 64 00 01 C0 47 44 51 20 A0 CF 94 15 2E B0 02 AC 88 0B 00 04 00 87 19 51 A0 E4 88 03 90 0B 00 04 00 01 C0 1A 1F B0 03 F4 92 0B 00 04 00 01 C0 1A 6D C0 04 D8 88 0B 00 04 00 85 1B 3B D0 03 F4 07 84 0B 00 04 00 85 1D 26 80 40 88 4B E4 0C 00 04 00 85 1D 74 90 75 FC 01 01 D8 0D 00 04 00 85 20 05 C8 02 7A F4 03 0A C4 10 00 64 00 07 C0 D0 91 1A 6D C0 15 F0 85 1B AC 86 0B 00 04 00 85 1C 57 F0 51 A0 5B B4 0D 00 04 00 87 1D 26 80 75 98 86 01 00 F4 03 
1615889074:12363, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615876711, 0xa, 01 02 30 30 30 30 30 39 30 34 31 38 30 30 31 24 7F 7E 20 07 F0 EB D2 C1 A0 05 42 B2 2C 2C 29 C7 42 51 51 20 A0 CC 9F 8A C3 07 48 E0 A0 C4 80 80 80 80 A0 C1 03 
1615889074:13365, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615875709, 0xa, 01 02 30 30 30 30 31 30 35 34 33 36 30 31 32 28 7F 7E 20 07 F0 EB D2 CE A0 06 37 DC 2C 2C 29 C7 53 57 46 20 A0 C3 94 8A C4 0E 04 F0 A0 C4 06 30 B4 87 06 43 F8 95 A0 CC 0F 00 04 00 05 C0 0E 53 80 05 62 A4 05 75 E8 87 11 00 64 00 05 C0 D6 90 11 0B C0 01 40 98 01 4B 90 92 1A 31 6C 00 07 D0 A0 D8 53 5A 43 20 A0 C5 96 C1 05 EE 18 03 E4 A1 18 1A B8 A1 C6 0C 00 04 00 85 05 DA 19 20 84 19 36 D8 16 01 44 00 07 D0 53 57 47 20 A0 D1 07 98 11 FC 02 A4 15 8C 02 E9 C2 16 01 44 00 07 D0 53 5A 43 20 A0 C5 05 F8 17 35 D4 A1 17 4C A8 A1 C6 11 01 04 00 85 53 57 47 20 A0 07 A2 0D 07 F0 0D 1D E0 19 31 6C 00 07 D0 D2 CE 53 57 46 20 A0 D3 91 C4 11 0B C0 73 D0 87 7C 9C 92 CC 10 00 64 00 07 C0 CF 94 12 75 F0 0B DC 92 0E EC 8B 0F 00 64 00 85 C7 91 15 7C C0 01 4C D8 01 59 98 0F 00 04 00 05 C0 17 18 E0 01 18 AC 01 24 88 92 03 
